"SUGGEST_ADMIN_RECOMMEND_DESCRIPTION";"Below you can browse all content of your site and recommend some of them for your members. So admin(you) recommendations will have higher priority which allows you to promote wished content(blog, event, group, page, etc). Please note that admin recommendations are always shown in the widgets so accurately choose the number of recommended items to avoid showing the same content permanently."

"suggest_Global Settings";"Global Settings"
"suggest_Recommendations";"Recommendations"

"suggest_Your suggestions were successfully sent.";"Your suggestions have been successfully sent."
"suggest_Your suggestions were not sent.";"Your suggestions have not been sent."
"suggest_Suggestion of this type was turned off by site admin.";"Suggestion of this type was turned off by site admin."
"suggest_Choose friends from list.";"Choose friends from list."

"suggest_widget_item_count_title";"Widget items count"
"suggest_widget_item_count_descr";"Count of items shown in widgets"

"suggest_global_settings_title";"Suggestion Global Settings"
"suggest_global_settings_descr";"These settings affect all members in your community."

"suggest_global_setting_friend_add_descr";"Add Friend Suggestion"
"suggest_global_setting_friend_add_title";"Will suggestion popup appear when user adds a friend?"

"suggest_global_setting_friend_confirm_descr";"Confirm Friend Suggestion"
"suggest_global_setting_friend_confirm_title";"Will suggestion popup appear when user confirms friend request?"

"suggest_global_setting_popup_create_title";"Create Content Suggestion"
"suggest_global_setting_popup_create_descr";"After which of the following content types creation popup box will appear?"

"suggest_global_setting_popup_join_title";"Joining"
"suggest_global_setting_popup_join_descr";"After when users will join to the following, will suggest box appear?"

"suggest_global_setting_link_title";"Sharebar widget"
"suggest_global_setting_link_descr";"Will sharebar widget be displayed on view page of the contents?"

"suggest_global_setting_group_join_descr";"Join Group Suggestion"
"suggest_global_setting_group_join_title";"Will suggest box appear when members join groups."

"suggest_global_setting_group_accept_descr";"Group Invitation Accept Suggestion"
"suggest_global_setting_group_accept_title";"Will suggest box appear when members accept group invitations."

"suggest_global_setting_event_join_descr";"Join Event Suggestion"
"suggest_global_setting_event_join_title";"Will suggest box appear when members join events."

"suggest_global_setting_event_accept_descr";"Event Invitation Accept Suggestion"
"suggest_global_setting_event_accept_title";"Will suggest box appear when members accept event invitations."

"suggest_global_setting_suggest_profile_photo_title";"Allow users suggest profile photos?"
"suggest_global_setting_suggest_profile_photo_descr";"Profile Photo Suggestion"

"suggest_global_setting_suggest_popup_take_quiz_descr";"Take Quiz Suggestion"
"suggest_global_setting_suggest_popup_take_quiz_title";"Will suggest box appear when user after user pass a quiz?"

"suggest_popup_title_quiz %s";"Suggest to your friends who might be interested in playing '%s' quiz."
"suggest_popup_title_blog %s";"Suggest to your friends who might be interested in viewing '%s' blog."
"suggest_popup_title_classified %s";"Suggest to your friends who might be interested in '%s' classified."
"suggest_popup_title_video %s";"Suggest to your friends who might be interested in viewing '%s' video."
"suggest_popup_title_user %s";"Suggest to your friends who might be interested in friendship with '%s'."
"suggest_popup_title_music_playlist %s";"Suggest to your friends who might be interested in '%s' music playlist."
"suggest_popup_title_poll %s";"Suggest to your friends who might be interested in voting '%s' poll."
"suggest_popup_title_event %s";"Suggest to your friends who might be interested in attending '%s' event."
"suggest_popup_title_group %s";"Suggest to your friends who might be interested in joining '%s' group."
"suggest_popup_title_album %s";"Suggest to your friends who might be interested in viewing '%s' album."
"suggest_popup_title_album_photo %s";"Suggest to your friends who might be interested in '%s' photo."
"suggest_popup_title_question %s";"Suggest to your friends who might be interested in '%s' question."
"suggest_popup_title_article %s";"Suggest to your friends who might be interested in reading '%s' article."
"suggest_popup_title_page %s";"Suggest to your friends who might be interested in `%s` page."
"suggest_popup_title_offer %s";"Suggest to your friends who might be interested in `%s` offer."

"suggest_view_this_user";"Add friend"
"suggest_cancel_suggest_user";"Ignore"

"suggest_view_this_classified";"View Classified"
"suggest_cancel_suggest_classified";"Ignore"

"suggest_view_this_group";"Join Group"
"suggest_cancel_suggest_group";"Ignore"

"suggest_view_this_event";"Join Event"
"suggest_cancel_suggest_event";"Ignore"


"suggest_view_this_page";"View Page"
"suggest_cancel_suggest_page";"Ignore"

"suggest_view_this_blog";"View Blog"
"suggest_cancel_suggest_blog";"Ignore"

"suggest_view_this_album";"View Album"
"suggest_cancel_suggest_album";"Ignore"

"suggest_view_this_video";"View Video"
"suggest_cancel_suggest_video";"Ignore"

"suggest_view_this_music_playlist";"Listen Playlist"
"suggest_cancel_suggest_music_playlist";"Ignore"

"suggest_view_this_quiz";"Take Quiz"
"suggest_cancel_suggest_quiz";"Ignore"

"suggest_view_this_album_photo";"View Photo"
"suggest_cancel_suggest_album_photo";"Ignore"

"suggest_view_this_poll";"View Poll"
"suggest_cancel_suggest_poll";"Ignore"

"suggest_view_this_article";"View Article"
"suggest_cancel_suggest_article";"Ignore"

"suggest_view_this_question";"View Question"
"suggest_cancel_suggest_question";"Ignore"

"suggest_view_this_suggest_profile_photo";"Make Profile Photo"
"suggest_cancel_suggest_suggest_profile_photo";"Ignore"
"suggest_description_user";"This friend was suggested by %s %s."
"suggest_description_blog";"This blog was suggested by %s %s."
"suggest_description_page";"This page was suggested by %s %s."
"suggest_description_group";"This group was suggested by %s %s."
"suggest_description_poll";"This poll was suggested by %s %s."
"suggest_description_classified";"This classified was suggested by %s %s."
"suggest_description_event";"This event was suggested by %s %s."
